,,,,,,,
,,,,,,,
,,,,,,,
,Carrier_name,month,total_flights,cancelled_flights,bags_mishandled,oversales,filed_complaints
,Envoy Air,1,17665,331,5193,408,8
,Mesa Airlines,1,11232,172,2392,170,0
,PSA Airlines,1,12615,373,2809,360,8
,Republic Airways,1,21720,271,2850,217,8
,SkyWest Airlines,1,52000,588,5084,720,8
,Horizon Air,1,8906,122,831,2,2
,Endeavor Air,1,19501,23,1388,233,11
,Delta Airlines,1,48239,92,6163,570,65
,American Airlines,1,38226,258,15874,591,167
,Alaska Airlines,1,10628,75,1742,0,46
,Hawaiian Airlines,1,3199,7,233,8,13
,United Airlines,1,23960,162,5350,289,227
,Frontier Airlines,1,6264,21,752,167,80
,Southwest Airlines,1,61307,677,11677,487,76
,Spirit Airlines,1,11202,99,1826,685,119
,Allegiant Air,1,5827,277,250,6,9
,Jetblue Airways,1,8937,99,1427,62,62
,Envoy Air,2,15648,2233,4483,,9
,Mesa Airlines,2,10191,1508,2179,,3
,PSA Airlines,2,11491,354,2790,,4
,Republic Airways,2,20379,1121,2756,,3
,SkyWest Airlines,2,47307,2084,7576,,15
,Horizon Air,2,8336,656,1542,,4
,Endeavor Air,2,17360,524,1284,,5
,Delta Airlines,2,43738,868,6720,,50
,American Airlines,2,34256,2140,18830,,172
,Alaska Airlines,2,11375,689,3594,,27
,Hawaiian Airlines,2,2707,4,293,,7
,United Airlines,2,22280,1093,9629,,185
,Frontier Airlines,2,6582,98,863,,66
,Southwest Airlines,2,52733,3840,11677,,45
,Spirit Airlines,2,10105,349,1375,,90
,Allegiant Air,2,7977,443,347,,26
,Jetblue Airways,2,10003,426,1854,,64
,Envoy Air,3,19760,231,5011,,16
,Mesa Airlines,3,12573,133,2400,,2
,PSA Airlines,3,15943,21,3172,,7
,Republic Airways,3,25776,36,3131,,11
,SkyWest Airlines,3,57629,1504,6325,,18
,Horizon Air,3,9572,110,1398,,1
,Endeavor Air,3,21394,0,1439,,11
,Delta Airlines,3,55856,150,7965,,73
,American Airlines,3,47648,296,22172,,231
,Alaska Airlines,3,14531,229,4251,,38
,Hawaiian Airlines,3,3268,7,518,,23
,United Airlines,3,28946,728,7836,,258
,Frontier Airlines,3,10886,325,1573,,71
,Southwest Airlines,3,80574,1782,19055,,85
,Spirit Airlines,3,14687,56,2646,,101
,Allegiant Air,3,11709,87,511,,19
,Jetblue Airways,3,13724,71,2369,,80
,Envoy Air,4,19605,127,4300,849,10
,Mesa Airlines,4,12530,89,2154,359,1
,PSA Airlines,4,18090,8,3215,599,10
,Republic Airways,4,26509,95,3465,766,18
,SkyWest Airlines,4,56649,127,5132,2295,13
,Horizon Air,4,9575,100,1176,129,1
,Endeavor Air,4,22560,0,1482,385,3
,Delta Airlines,4,55500,347,8642,1386,97
,American Airlines,4,52305,336,22859,1453,269
,Alaska Airlines,4,15127,131,4392,117,26
,Hawaiian Airlines,4,4032,4,622,3,19
,United Airlines,4,27787,47,6632,591,212
,Frontier Airlines,4,10910,93,1586,626,71
,Southwest Airlines,4,80253,491,18229,1439,82
,Spirit Airlines,4,14487,232,3763,1680,117
,Allegiant Air,4,9475,146,494,3,35
,Jetblue Airways,4,15243,120,3404,81,122
,Envoy Air,5,21513,472,6331,,18
,Mesa Airlines,5,13095,229,2876,,5
,PSA Airlines,5,20681,105,4418,,15
,Republic Airways,5,29189,70,4507,,17
,SkyWest Airlines,5,60400,237,7372,,14
,Horizon Air,5,10137,86,1628,,2
,Endeavor Air,5,24103,13,3377,,8
,Delta Airlines,5,61115,7,16130,,103
,American Airlines,5,61032,607,32041,,231
,Alaska Airlines,5,15999,36,5484,,32
,Hawaiian Airlines,5,4580,2,754,,33
,United Airlines,5,30957,64,7703,,263
,Frontier Airlines,5,11940,12,1972,,52
,Southwest Airlines,5,87286,257,25357,,97
,Spirit Airlines,5,17032,20,3936,,115
,Allegiant Air,5,8920,23,553,,37
,Jetblue Airways,5,17565,43,4537,,132
,Envoy Air,6,23506,352,10472,,19
,Mesa Airlines,6,14252,309,5784,,11
,PSA Airlines,6,20396,146,6651,,25
,Republic Airways,6,30952,614,7210,,21
,SkyWest Airlines,6,67511,505,12643,,25
,Horizon Air,6,10607,212,3363,,7
,Endeavor Air,6,25214,38,4757,,7
,Delta Airlines,6,65882,12,23756,,106
,American Airlines,6,70426,2400,65472,,421
,Alaska Airlines,6,16971,247,13716,,42
,Hawaiian Airlines,6,5980,2,1185,,20
,United Airlines,6,35760,66,13604,,303
,Frontier Airlines,6,12590,201,2895,,84
,Southwest Airlines,6,98532,3250,52573,,150
,Spirit Airlines,6,16608,105,4773,,123
,Allegiant Air,6,12568,278,1613,,63
,Jetblue Airways,6,18369,113,6489,,205
,Envoy Air,7,24276,217,10661,1422,30
,Mesa Airlines,7,15755,409,6514,808,18
,PSA Airlines,7,21269,368,7770,1342,35
,Republic Airways,7,32700,1285,8024,2855,36
,SkyWest Airlines,7,72133,765,13989,3592,35
,Horizon Air,7,11400,125,2886,706,5
,Endeavor Air,7,25057,112,5088,1181,17
,Delta Airlines,7,70002,63,27603,3231,173
,American Airlines,7,72965,1223,67913,5192,493
,Alaska Airlines,7,17370,119,10457,915,44
,Hawaiian Airlines,7,6214,13,1369,10,20
,United Airlines,7,43445,586,19856,1341,396
,Frontier Airlines,7,13467,463,3079,886,161
,Southwest Airlines,7,103956,1725,48522,9008,164
,Spirit Airlines,7,18993,333,6533,3131,215
,Allegiant Air,7,14130,820,1514,203,129
,Jetblue Airways,7,20126,516,8373,463,304
,Envoy Air,8,24055,875,11561,,28
,Mesa Airlines,8,15619,464,5943,,15
,PSA Airlines,8,21381,538,7386,,40
,Republic Airways,8,31831,1356,7766,,33
,SkyWest Airlines,8,71616,1462,13945,,54
,Horizon Air,8,11127,131,3005,,2
,Endeavor Air,8,23060,66,5369,,10
,Delta Airlines,8,70653,113,29274,,124
,American Airlines,8,73455,3551,61705,,554
,Alaska Airlines,8,17890,120,13570,,44
,Hawaiian Airlines,8,6589,53,1099,,19
,United Airlines,8,44765,628,17616,,416
,Frontier Airlines,8,13398,322,2985,,155
,Southwest Airlines,8,104524,3595,41766,,150
,Spirit Airlines,8,19096,2923,4789,,1826
,Allegiant Air,8,9920,570,768,,111
,Jetblue Airways,8,20271,425,9040,,296
,Envoy Air,9,21735,141,4369,,22
,Mesa Airlines,9,13796,160,2495,,6
,PSA Airlines,9,19618,202,3800,,21
,Republic Airways,9,29780,710,3997,,27
,SkyWest Airlines,9,66966,297,8302,,30
,Horizon Air,9,9200,42,1686,,2
,Endeavor Air,9,21946,80,4221,,13
,Delta Airlines,9,67597,295,29245,,134
,American Airlines,9,67576,759,29035,,354
,Alaska Airlines,9,17438,127,7207,,30
,Hawaiian Airlines,9,6233,36,695,,31
,United Airlines,9,44427,633,11801,,408
,Frontier Airlines,9,12155,79,2220,,111
,Southwest Airlines,9,97438,2326,26044,,140
,Spirit Airlines,9,16867,316,3481,,226
,Allegiant Air,9,6704,50,503,,45
,Jetblue Airways,9,18575,487,5011,,212
,Envoy Air,10,22776,478,6401,1150,17
,Mesa Airlines,10,14610,299,3676,873,7
,PSA Airlines,10,20865,40,5403,1830,19
,Republic Airways,10,29086,177,4726,5164,8
,SkyWest Airlines,10,16858,2458,11191,6743,33
,Horizon Air,10,7683,30,1477,459,1
,Endeavor Air,10,23482,0,4860,3642,11
,Delta Airlines,10,70510,35,33967,12929,110
,American Airlines,10,73778,3106,43035,6008,320
,Alaska Airlines,10,17848,191,8682,1059,34
,Hawaiian Airlines,10,5856,9,882,2,17
,United Airlines,10,47757,254,13647,2864,264
,Frontier Airlines,10,12987,79,2391,1489,87
,Southwest Airlines,10,103300,3972,41245,10242,434
,Spirit Airlines,10,16858,249,3516,1766,178
,Allegiant Air,10,9313,333,877,519,57
,Jetblue Airways,10,19083,54,4613,901,138
,Envoy Air,11,22326,58,5466,,19
,Mesa Airlines,11,13454,282,2864,,3
,PSA Airlines,11,19727,51,4822,,29
,Republic Airways,11,27548,49,4473,,13
,SkyWest Airlines,11,66279,280,9173,,39
,Horizon Air,11,7687,46,2000,,5
,Endeavor Air,11,21149,15,3724,,3
,Delta Airlines,11,70361,14,30084,,98
,American Airlines,11,72980,1347,38207,,392
,Alaska Airlines,11,16893,237,10001,,46
,Hawaiian Airlines,11,5749,4,898,,22
,United Airlines,11,47212,239,12483,,281
,Frontier Airlines,11,12803,24,2399,,98
,Southwest Airlines,11,97398,490,29795,,140
,Spirit Airlines,11,17441,108,4082,,120
,Allegiant Air,11,8999,153,637,,44
,Jetblue Airways,11,19625,27,5335,,108
,Envoy Air,12,22845,185,7228,,17
,Mesa Airlines,12,12702,762,3937,,8
,PSA Airlines,12,20535,72,6415,,22
,Republic Airways,12,27593,66,6399,,22
,SkyWest Airlines,12,65939,3105,20698,,44
,Horizon Air,12,7398,436,4144,,4
,Endeavor Air,12,21876,115,5825,,10
,Delta Airlines,12,68537,1635,46825,,194
,American Airlines,12,71824,455,49535,,400
,Alaska Airlines,12,16885,1016,18567,,80
,Hawaiian Airlines,12,6306,123,1819,,17
,United Airlines,12,49541,1607,27911,,367
,Frontier Airlines,12,13160,212,3757,,156
,Southwest Airlines,12,97339,1100,43655,,113
,Spirit Airlines,12,17985,871,6454,,293
,Allegiant Air,12,10339,649,1328,,66
,Jetblue Airways,12,21181,918,7830,,205
